rank,doc_id,corpus_type,assigned_sdg,projection_score,title,text_preview,source_doc_or_year
1,https://openalex.org/W4389228499,research,14,-0.252151,Research on the applicability of regularization methods in ship magnetic field modeling based on magnetic dipole arrays,"Research on the applicability of regularization methods in ship magnetic field modeling based on magnetic dipole arrays. Abstract In order to solve the problem of ship magnetic field modeling, a magnetic dipole array model was established, a modeling inversion equation system was constructed, and the degree of sickness of the solved equation system under different numbers of magnetic dipoles was q",2023
2,https://openalex.org/W4404845190,research,7,-0.250814,A fast Time-domain identification of bushing dynamics,"A fast Time-domain identification of bushing dynamics. The identification of bushings dynamics is crucial for the development of innovative model-based digital tools, such as for example predictive maintenance or virtual sensing. Quite a few nonlinear modelling techniques have been proposed over the years, which can be suitably used to develop advanced models that capture the linear and nonlinear",2024
3,https://openalex.org/W2794955701,research,11,-0.249552,Time‐Varying Modal Parameters Identification by Subspace Tracking Algorithm and Its Validation Method,"Time‐Varying Modal Parameters Identification by Subspace Tracking Algorithm and Its Validation Method. This article presents a time‐varying modal parameter identification method based on the novel information criterion (NIC) algorithm and a post‐process method for time‐varying modal parameter estimation. In the practical application of the time‐varying modal parameter identification algorithm, the",2018
4,https://openalex.org/W4295214954,research,7,-0.243758,Loosening Identification of Multi-Bolt Connections Based on Wavelet Transform and ResNet-50 Convolutional Neural Network,"Loosening Identification of Multi-Bolt Connections Based on Wavelet Transform and ResNet-50 Convolutional Neural Network. A high-strength bolt connection is the key component of large-scale steel structures. Bolt loosening and preload loss during operation can reduce the load-carrying capacity, safety, and durability of the structures. In order to detect loosening damage in multi-bolt connections",2022
5,https://openalex.org/W4400147452,research,4,-0.241959,Static eddy current imaging for nondestructive testing of aeronautical structures,"Static eddy current imaging for nondestructive testing of aeronautical structures. Non-destructive testing (NDT) plays a crucial role in ensuring the safety and reliability of the structures used in aeronautics as it enables the detection of defects without damaging the parts examined. In the field of aeronautics, it is necessary to ensure the structural integrity of aircraft components. Vaulted h",2024
6,https://openalex.org/W3134161550,research,16,-0.240571,Review on Aluminum and Steel Semi-rigid Connections Behavior Design Model,"Review on Aluminum and Steel Semi-rigid Connections Behavior Design Model. Several research reports agree on the influence of joint rotational behavior on the stability of space frames. One must therefore consider it in space structures study. Joint rotational behavior is generally considered in space structures study by means of its moment-rotation behavior curve. Models such as analytical, empir",2021
7,https://openalex.org/W4400934128,research,7,-0.238431,Dynamic modelling and efficiency prediction for forging operations under a screw press,"Dynamic modelling and efficiency prediction for forging operations under a screw press. Abstract Accurate predictions concerning a forging process can be obtained by numerical simulation, but only with a thorough knowledge of the main process variables. The material flow behavior and the interface effects are already well studied in the literature, but not the machine behavior, although it is requ",2024
8,https://openalex.org/W4400996301,research,2,-0.236241,Research on Stock Price Prediction Model based on Clustering-Sliced LDA and Gaussian Process Regression,"Research on Stock Price Prediction Model based on Clustering-Sliced LDA and Gaussian Process Regression. Multi-factor prediction techniques based on machine learning models are crucial methods in the field of financial quantification. However, these methods often encounter challenges such as curse of dimensionality and unknown structural connections. To address these issues, this paper proposes an",2024
9,https://openalex.org/W4362458493,research,17,-0.236002,Refining the time-frequency characteristic of non-stationary signal for improving time-frequency representation under variable speeds,"Refining the time-frequency characteristic of non-stationary signal for improving time-frequency representation under variable speeds. Time-frequency ridge not only exhibits the variable process of non-stationary signal with time changing but also provides the information of signal synchronous or non-synchronous components for subsequent detection research. Consequently, the key is to decrease the",2023
10,https://openalex.org/W2980474709,research,12,-0.233144,Uncertainty Quantification of the Dimensional Variations of a Curved Composite Flange,"Uncertainty Quantification of the Dimensional Variations of a Curved Composite Flange. Composite manufacturing involves a large number of materials data and process parameters, inevitably resulting in performance variations of final parts. To maintain and improve product quality, characterizing the stochastic performance of composite manufacturing processes and thus identifying the key uncertainty",2019
11,https://openalex.org/W4403472280,research,7,-0.232578,Accurate real-time modeling for multiple-blow forging,"Accurate real-time modeling for multiple-blow forging. Abstract Numerical simulations are crucial for predicting outcomes in forging processes but often neglect dynamic interactions within forming tools and presses. This study proposes an approach for achieving accurate real-time prediction of forging outcomes. Initially, a simulation-based surrogate model is developed to replicate key process cha",2024
12,https://openalex.org/W7125515593,research,12,-0.228202,Machine Learning‐Based Sensitivity Analysis of Geometric and Material Variables of Beam‐to‐upright bolt‐less Connection,"Machine Learning‐Based Sensitivity Analysis of Geometric and Material Variables of Beam‐to‐upright bolt‐less Connection. Abstract Beam‐to‐upright semi‐rigid assemblies are widely recognized in the storage warehouse industry for their lightweight nature, ease of installation, and favourable strength‐to‐weight ratio. Extensive research has focused on experimental and numerical investigations to char",2025
