rank,doc_id,corpus_type,assigned_sdg,projection_score,title,text_preview,source_doc_or_year
1,https://openalex.org/W4389228499,research,14,-0.260519,Research on the applicability of regularization methods in ship magnetic field modeling based on magnetic dipole arrays,"Research on the applicability of regularization methods in ship magnetic field modeling based on magnetic dipole arrays. Abstract In order to solve the problem of ship magnetic field modeling, a magnetic dipole array model was established, a modeling inversion equation system was constructed, and the degree of sickness of the solved equation system under different numbers of magnetic dipoles was q",2023
2,https://openalex.org/W4404845190,research,7,-0.256088,A fast Time-domain identification of bushing dynamics,"A fast Time-domain identification of bushing dynamics. The identification of bushings dynamics is crucial for the development of innovative model-based digital tools, such as for example predictive maintenance or virtual sensing. Quite a few nonlinear modelling techniques have been proposed over the years, which can be suitably used to develop advanced models that capture the linear and nonlinear",2024
3,https://openalex.org/W3134161550,research,16,-0.247653,Review on Aluminum and Steel Semi-rigid Connections Behavior Design Model,"Review on Aluminum and Steel Semi-rigid Connections Behavior Design Model. Several research reports agree on the influence of joint rotational behavior on the stability of space frames. One must therefore consider it in space structures study. Joint rotational behavior is generally considered in space structures study by means of its moment-rotation behavior curve. Models such as analytical, empir",2021
4,https://openalex.org/W4376643972,research,7,-0.239382,Sparse identification of Lagrangian for nonlinear dynamical systems via proximal gradient method,"Sparse identification of Lagrangian for nonlinear dynamical systems via proximal gradient method. The autonomous distillation of physical laws only from data is of great interest in many scientific fields. Data-driven modeling frameworks that adopt sparse regression techniques, such as sparse identification of nonlinear dynamics (SINDy) and its modifications, are developed to resolve difficulties",2023
5,https://openalex.org/W4400996301,research,7,-0.239158,Research on Stock Price Prediction Model based on Clustering-Sliced LDA and Gaussian Process Regression,"Research on Stock Price Prediction Model based on Clustering-Sliced LDA and Gaussian Process Regression. Multi-factor prediction techniques based on machine learning models are crucial methods in the field of financial quantification. However, these methods often encounter challenges such as curse of dimensionality and unknown structural connections. To address these issues, this paper proposes an",2024
6,https://openalex.org/W3044765352,research,16,-0.237785,The Hollywood Indian Stereotype: The Cinematic Othering and Assimilation of Native Americans at the Turn of the 20th Century,"The Hollywood Indian Stereotype: The Cinematic Othering and Assimilation of Native Americans at the Turn of the 20th Century. This paper intends to demonstrate that the misrepresentation of Native Americans in cinema furthers the logic of differentiation at play in popular culture, focalizing on an irreconcilable enemy image upon which the American self is constructed. The Indian looking glass mag",2020
7,https://openalex.org/W4412486946,research,13,-0.235232,Towards Data-Driven Aeroacoustic Modeling to Predict Propeller Installation Noise: A First-Principle Based Approach,"Towards Data-Driven Aeroacoustic Modeling to Predict Propeller Installation Noise: A First-Principle Based Approach. Prediction of propeller installation noise is a critical aspect of developing low-noise aircraft and advanced air mobility systems. A novel data-driven approach, grounded in first-principles aerodynamics and acoustic theory, has been developed to accurately predict tonal noise gener",2025
8,https://openalex.org/W4400943932,research,12,-0.233797,Inference of Constitutive Relation of Phase‐Separated Polymers by Integrating Physics‐Informed Neural Networks and Symbolic Regression,Inference of Constitutive Relation of Phase‐Separated Polymers by Integrating Physics‐Informed Neural Networks and Symbolic Regression. Abstract Harnessing data to discover the underlying constitutive relation of phase‐separated polymers can significantly advance the fabrication of high‐performance materials. This work introduces a novel data‐driven method to learn the constitutive equation of dif,2024
9,https://openalex.org/W4389448297,research,4,-0.233334,Longitudinal Parameter Estimation Using Wind Tunnel and Simulated Flight Data of Missile Configuration,Longitudinal Parameter Estimation Using Wind Tunnel and Simulated Flight Data of Missile Configuration. The present study makes an attempt to estimate aerodynamic parameters from a typical flight data of a short range missile. Exhaustive wind tunnel testing was conducted to generate longitudinal force and moment coefficients at low speed. Identification methods were applied on the selected wind tu,2023
10,https://openalex.org/W4391971596,research,2,-0.233248,Thermal Characteristics of Spindle System Based on the Comprehensive Effect of Multiple Nonlinear Time-Varying Factors,"Thermal Characteristics of Spindle System Based on the Comprehensive Effect of Multiple Nonlinear Time-Varying Factors. The thermal characteristics of the spindle system for CNC machine tools are influenced by multiple factors which are nonlinear and time-varying. In this paper, a nonlinear time-varying thermal characteristics solving model for the spindle system was established based on the numer",2024
11,https://openalex.org/W3122026157,research,7,-0.231992,Recovery of Differential Equations from Impulse Response Time Series Data for Model Identification and Feature Extraction,Recovery of Differential Equations from Impulse Response Time Series Data for Model Identification and Feature Extraction. Time recordings of impulse-type oscillation responses are short and highly transient. These characteristics may complicate the usage of classical spectral signal processing techniques for a) describing the dynamics and b) deriving discriminative features from the data. However,2018
12,https://openalex.org/W4295214954,research,7,-0.230374,Loosening Identification of Multi-Bolt Connections Based on Wavelet Transform and ResNet-50 Convolutional Neural Network,"Loosening Identification of Multi-Bolt Connections Based on Wavelet Transform and ResNet-50 Convolutional Neural Network. A high-strength bolt connection is the key component of large-scale steel structures. Bolt loosening and preload loss during operation can reduce the load-carrying capacity, safety, and durability of the structures. In order to detect loosening damage in multi-bolt connections",2022
13,https://openalex.org/W4400934128,research,7,-0.228851,Dynamic modelling and efficiency prediction for forging operations under a screw press,"Dynamic modelling and efficiency prediction for forging operations under a screw press. Abstract Accurate predictions concerning a forging process can be obtained by numerical simulation, but only with a thorough knowledge of the main process variables. The material flow behavior and the interface effects are already well studied in the literature, but not the machine behavior, although it is requ",2024
14,https://openalex.org/W4327506202,research,7,-0.228513,A method for reconstructing models of heat and mass transfer from the spatio-temporal distribution of parameters,"A method for reconstructing models of heat and mass transfer from the spatio-temporal distribution of parameters. An algorithm of the generative design method for reconstruction of heat transfer models from the available data is proposed. The method is applied to generate a partial differential equation describing the process of heating and evaporation of a metal, the surface of which is heated by",2022
15,https://openalex.org/W2905224782,research,7,-0.228404,Recovery of Differential Equations from Impulse Response Time Series Data for Model Identification and Feature Extraction,Recovery of Differential Equations from Impulse Response Time Series Data for Model Identification and Feature Extraction. Time recordings of impulse-type oscillation responses are short and highly transient. These characteristics may complicate the usage of classical spectral signal processing techniques for (a) describing the dynamics and (b) deriving discriminative features from the data. Howev,2019
16,https://openalex.org/W4403472280,research,7,-0.226779,Accurate real-time modeling for multiple-blow forging,"Accurate real-time modeling for multiple-blow forging. Abstract Numerical simulations are crucial for predicting outcomes in forging processes but often neglect dynamic interactions within forming tools and presses. This study proposes an approach for achieving accurate real-time prediction of forging outcomes. Initially, a simulation-based surrogate model is developed to replicate key process cha",2024
17,https://openalex.org/W4221022185,research,12,-0.226686,A new multi-fidelity surrogate modelling method for engineering design based on neural network and transfer learning,"A new multi-fidelity surrogate modelling method for engineering design based on neural network and transfer learning. Purpose Compared with the low-fidelity model, the high-fidelity model has both the advantage of high accuracy, and the disadvantage of low efficiency and high cost. A series of multi-fidelity surrogate modelling method were developed to give full play to the respective advantages o",2022
18,https://openalex.org/W7125515593,research,9,-0.226525,Machine Learning‐Based Sensitivity Analysis of Geometric and Material Variables of Beam‐to‐upright bolt‐less Connection,"Machine Learning‐Based Sensitivity Analysis of Geometric and Material Variables of Beam‐to‐upright bolt‐less Connection. Abstract Beam‐to‐upright semi‐rigid assemblies are widely recognized in the storage warehouse industry for their lightweight nature, ease of installation, and favourable strength‐to‐weight ratio. Extensive research has focused on experimental and numerical investigations to char",2025
19,https://openalex.org/W4387631054,research,7,-0.226343,Sparse Bayesian machine learning for the interpretable identification of nonlinear structural dynamics: Towards the experimental data-driven discovery of a quasi zero stiffness device,Sparse Bayesian machine learning for the interpretable identification of nonlinear structural dynamics: Towards the experimental data-driven discovery of a quasi zero stiffness device. Data-driven discovery of governing laws for complex nonlinear structural dynamic systems remains a challenging issue of paramount importance. This work addresses the above issue by leveraging the available noisy dat,2023
20,https://openalex.org/W4401008477,research,13,-0.225441,Linear and nonlinear flame response prediction of turbulent flames using neural network models,"Linear and nonlinear flame response prediction of turbulent flames using neural network models. Modelling the flame response of turbulent flames via data-driven approaches is challenging due, among others, to the presence of combustion noise. Neural network methods have shown good potential to infer laminar flames' linear and nonlinear flame response when externally forced with broadband signals.",2024
21,https://openalex.org/W4404773654,research,13,-0.225328,On the role of eddy viscosity in resolvent analysis of turbulent jets,"On the role of eddy viscosity in resolvent analysis of turbulent jets. This study presents an approach to investigate the role of eddy viscosity in linearized mean-field analysis of broadband turbulent flows. The procedure is based on spectral proper orthogonal decomposition (SPOD), resolvent analysis and the energy budget of coherent structures and is demonstrated using the example of a turbulent",2024
22,https://openalex.org/W4403016691,research,7,-0.225221,Exploring swirling flow dynamics: Unsupervised machine learning in Maxwell hybrid nanofluid convection over an exponentially stretching cylinder with non-linear radiation effects,"Exploring swirling flow dynamics: Unsupervised machine learning in Maxwell hybrid nanofluid convection over an exponentially stretching cylinder with non-linear radiation effects. This article analyses the flow of Maxwell hybrid nanofluid induced by an exponentially stretching and rotating cylinder . The presence of non-linear convection, non-linear radiation, and magnetic field is also assumed. T",2024
23,https://openalex.org/W4404601911,research,12,-0.224999,Free vibration optimization of 2D tri-axial braided composite fan blade with ANN-Anal-FEM-GA integrated model,"Free vibration optimization of 2D tri-axial braided composite fan blade with ANN-Anal-FEM-GA integrated model. This research aimed to increase the natural frequencies of a non-rotating 2D tri-axial braided composite (2DTBC) fan blade. The investigation utilized a multidisciplinary approach, integrating Artificial Neural Network (ANN) modeling, analytical method, Finite Element (FE) analysis, optim",2024
24,https://openalex.org/W7115092575,research,3,-0.224974,Molecule simulation and mathematical modeling for Con A-sugar affinity-based glucose-responsive particle insulin delivery systems for personalized insulin delivery,"Molecule simulation and mathematical modeling for Con A-sugar affinity-based glucose-responsive particle insulin delivery systems for personalized insulin delivery. Diabetes remains a pressing global health challenge, with insulin therapy being central to glycemic control in insulin-dependent patients. However, conventional delivery methods, e.g., subcutaneous injection, often fail to mimic the bo",2025
25,https://openalex.org/W4286569765,research,7,-0.224804,Characterization of the Quality Factor in Spiral Coil Designs for High-Frequency Wireless Power Transfer Systems using Machine Learning,"Characterization of the Quality Factor in Spiral Coil Designs for High-Frequency Wireless Power Transfer Systems using Machine Learning. This paper presents a machine learning-based char-acterization of the quality (Q) factor in spiral coil designs for wireless power transfer systems operating at MHz frequencies. Due to skin and proximity effects, at such frequencies, it is challenging to estimate",2022
26,https://openalex.org/W2980474709,research,12,-0.224597,Uncertainty Quantification of the Dimensional Variations of a Curved Composite Flange,"Uncertainty Quantification of the Dimensional Variations of a Curved Composite Flange. Composite manufacturing involves a large number of materials data and process parameters, inevitably resulting in performance variations of final parts. To maintain and improve product quality, characterizing the stochastic performance of composite manufacturing processes and thus identifying the key uncertainty",2019
27,https://openalex.org/W2794955701,research,11,-0.224499,Time‐Varying Modal Parameters Identification by Subspace Tracking Algorithm and Its Validation Method,"Time‐Varying Modal Parameters Identification by Subspace Tracking Algorithm and Its Validation Method. This article presents a time‐varying modal parameter identification method based on the novel information criterion (NIC) algorithm and a post‐process method for time‐varying modal parameter estimation. In the practical application of the time‐varying modal parameter identification algorithm, the",2018
28,https://openalex.org/W4393160651,research,7,-0.224419,Buckling Defect Optimization of Constrained Ring Rolling of Thin-Walled Conical Rings with Inner High Ribs Combining Response Surface Method with FEM,Buckling Defect Optimization of Constrained Ring Rolling of Thin-Walled Conical Rings with Inner High Ribs Combining Response Surface Method with FEM. A buckling defect will appear on the outer surface of the deformed ring during the constrained ring rolling (CRR) of an aluminum alloy thin-wall conical ring with inner high ribs (AATWCRIHR) if the geometrical dimension of the ribs does not match th,2024
29,https://openalex.org/W4387976116,research,13,-0.22395,Numerical Simulation of Two-Dimensional Turbulent Dilatable Flows in a Fire,"Numerical Simulation of Two-Dimensional Turbulent Dilatable Flows in a Fire. Numerical simulations, based on the theories of computational fluid dynamics and combustion, are currently a powerful tool in the field of fire engineering. Field models allow us to analyze key aspects such as the integrity of buildings and safety. However, it is fundamental to define strategies that allow engineers to ob",2023
30,https://openalex.org/W2848510496,research,12,-0.223901,Informatics Based Design of Bio-Lubricant with Nano Friction Modifiers and Evaluation of Its Tribological Properties,"Informatics Based Design of Bio-Lubricant with Nano Friction Modifiers and Evaluation of Its Tribological Properties. &lt;div class=""section abstract""&gt;&lt;div class=""htmlview paragraph""&gt;Statistical and computational intelligence techniques were employed for informatics based design of nano friction modifiers added bio-lubricant. Systematic data were generated through laboratory experiments,",2018
31,https://openalex.org/W4407566353,research,7,-0.223014,Power Transformer Vibration Analysis Model Based on Ensemble Learning Algorithm,"Power Transformer Vibration Analysis Model Based on Ensemble Learning Algorithm. The inflow of DC magnetic flux into the core of power transformers under DC bias conditions leads to a significant increase in operational losses, noise levels, and vibration amplitudes, posing substantial threats to the stability and reliability of the power system. To comprehensively examine the effects of DC bias o",2025
32,https://openalex.org/W4391694922,research,7,-0.222481,A neural-network-based model of radio-frequency hollow cathode discharge characterized using particle-in-cell/Monte Carlo collision simulation,A neural-network-based model of radio-frequency hollow cathode discharge characterized using particle-in-cell/Monte Carlo collision simulation. Abstract An understanding of the plasma dynamics of radio-frequency (RF) hollow cathode discharges (HCDs) at low to moderate pressures is important due to their wide range of applications. A HCD consists of a hollow cylindrical cavity in the RF-powered cat,2024
33,https://openalex.org/W4383047015,research,14,-0.221829,Scalable method for Bayesian experimental design without integrating over posterior distribution,"Scalable method for Bayesian experimental design without integrating over posterior distribution. We address the computational efficiency in solving the A-optimal Bayesian design of experiments problems for which the observational map is based on partial differential equations and, consequently, is computationally expensive to evaluate. A-optimality is a widely used and easy-to-interpret criterion",2023
34,https://openalex.org/W4413216101,research,7,-0.221684,Comparison of Real-Time Multivariate Dynamic Modeling Methods of Gas Turbine,"Comparison of Real-Time Multivariate Dynamic Modeling Methods of Gas Turbine. Abstract This paper presents methods for generating multivariate real-time models of jet engines in real-time by system identification method from experimental data. In this paper, multivariate real-time models of the engine have been built based on two main methods: transfer function and artificial neural network. The o",2025
35,https://openalex.org/W4405803500,research,13,-0.221079,A Parameterized Prediction Method for Turbulent Jet Noise Based on Physics-Informed Neural Networks,"A Parameterized Prediction Method for Turbulent Jet Noise Based on Physics-Informed Neural Networks. Abstract Turbulent noise prediction is integral to fluid equipment design, and multiple simulations or experiments are often required for noise distribution under varying operating conditions during the design optimization process, which could be expensive. Recently, the physics informed neural net",2024
36,https://openalex.org/W4312006804,research,12,-0.221027,DIAGNOSIS METHODS FOR MECHANISMS AND MACHINES BASED ON EMPIRICAL MODE DECOMPOSITION OF A VIBROSIGNAL AND THE WILCOXON TEST,"DIAGNOSIS METHODS FOR MECHANISMS AND MACHINES BASED ON EMPIRICAL MODE DECOMPOSITION OF A VIBROSIGNAL AND THE WILCOXON TEST. Methods for diagnosing mechanisms and machines based on the analysis of vibration signals are considered. In particular, the comparison of various algorithms for analyzing vibration signals in the time and frequency domains was made, methods for selecting diagnostic features",2022
37,https://openalex.org/W3037369338,research,9,-0.221019,An Efficient Stock Market Trend Prediction Using the Real-Time Stock Technical Data and Stock Social Media Data,"An Efficient Stock Market Trend Prediction Using the Real-Time Stock Technical Data and Stock Social Media Data. Stock market trend prediction is one of the major issues which have been problematic to both financial analysts and scientific research on real-time streaming `data. Also, forecasting stock market returns based on the technical data is difficult due to noise in the data and mixed data t",2020
