side,sdg,item_id,source,centroid_similarity,preview
research,17,https://openalex.org/W4402892304,2024,0.691219,G-Protein Signaling in Alzheimer's Disease: Spatial Expression Validation of Semi-supervised Deep Learning-Based Computational Framework. Systemic study of pathogenic pathways and interrelationships underlying genes a...
research,17,https://openalex.org/W3118604558,2021,0.690987,Identification of Common Molecular Signatures Shared between Alzheimer's and Parkinson's Diseases and Therapeutic Agents Exploration: An Integrated Genomics Approach. Abstract Alzheimer's disease (AD) and Parkinson's...
research,17,https://openalex.org/W4387607328,2023,0.68908,"WGCNA and multiple machine learning methods identified SV2C and DENR as novel biomarkers for Parkinson's disease. Abstract In the past servel years, the incidence of Parkinson's disease has continued to rise globally,..."
policy,17,ungdc_001936,ungdc_CMR_73_2018,0.834813,"The growing complexity of the problems of our time, as well as the unprecedented interdependence of nations and peoples, require collective action and global solutions. The United Nations is today the best reflection..."
policy,17,ungdc_000961,ungdc_NPL_71_2016,0.819424,"It has been a year since we adopted the universal and transformative 2030 Agenda for Sustainable Development, with the objective of leaving no one behind. After one year, it is clear now that much more needs to be don..."
policy,17,SDSN_Sustainable_Development_Report_2024_0005,SDSN_Sustainable_Development_Report_2024,0.81705,Contents Acronyms and Abbreviations vi Executive Summary viii Part 1. Recommendations of the UN Sustainable Development Solutions Network for the Summit of the Future 1 Sustainable development and financing for develo...
research,13,https://openalex.org/W4383472615,2023,0.827179,"ClimateLearn: Benchmarking Machine Learning for Weather and Climate Modeling. Modeling weather and climate is an essential endeavor to understand the near- and long-term impacts of climate change, as well as inform te..."
research,13,https://openalex.org/W4367723937,2023,0.797754,"A climate index collection based on model data. Abstract Machine learning (ML) and in particular deep learning (DL) methods push state-of-the-art solutions for many hard problems, for example, image classification, sp..."
research,13,https://openalex.org/W4389470795,2023,0.793674,"Foundation Models for Weather and Climate Data Understanding: A Comprehensive Survey. As artificial intelligence (AI) continues to rapidly evolve, the realm of Earth and atmospheric sciences is increasingly adopting d..."
policy,13,sdgi_03766_2,sdgi_ESP_VLR_barcelona_2020,0.859561,"13.2. Integrate climate change measures into national policies, strategies and planning. 13.3. Improve education, awareness-raising and human and institutional capacity on climate change mitigation, adaptation, impact..."
policy,13,ungdc_002440,ungdc_VUT_73_2018,0.859455,"the level of greenhouse-gas emissions continues to rise relentlessly, we will witness an escalation of the costs associated with the effects of climate change, costs that vulnerable countries such as Vanuatu cannot af..."
policy,13,sdgi_03788_3,sdgi_MAR_VLR_agadir_2023,0.856498,It plans to address this through a proactive and adaptive approach resting on a strengthened institutional and legal environment and dedicated programmes across sectors. It cites that the level of CO2 emissions in the...
research,9,https://openalex.org/W4389891404,2023,0.759528,Tendencias del uso de la Inteligencia Artificial en Empresas Globales en el periodo 2018-2023. Una revisión sistemática de la literatura científica. In recent years there has been an accelerated interest in artificial...
research,9,https://openalex.org/W4400126561,2024,0.752721,The Integration of Machine Learning and Explainable AI and Business Digitization: Unleashing the Power of Data - A Review. The integration of machine learning (ML) and explainable artificial intelligence (XAI) within...
research,9,https://openalex.org/W3013396959,2020,0.747424,"A Report on the First Workshop on Software Engineering for Artificial Intelligence (SE4AI 2020). With advancement in technology-driven decision making, the software-intensive systems for decisions have become more rob..."
policy,9,India_National_AI_Strategy_NITI_2018_0019,India_National_AI_Strategy_NITI_2018,0.812981,Discussion Paper National Strategy for Artificial Intelligence Global Developments in Artificial Intelligence Benchmarking select countries Countries around the world are becoming increasingly aware of the potential e...
policy,9,OECD_2021_State_of_Implementation_of_the_OECD_AI_Principles_Insights_from_National_AI_Policies_0020,OECD_2021_State_of_Implementation_of_the_OECD_AI_Principles_Insights_from_National_AI_Policies,0.809824,STATE OF IMPLEMENTATION OF THE OECD AI PRINCIPLES: INSIGHTS FROM NATIONAL AI POLICIES  13 Figure 4. A selection of AI policies that follow OECD AI Principle 2.3 on shaping an enabling policy environment for AI Note:...
policy,9,EuropeanCommission_2020_Shaping_Europes_Digital_Future_0005,EuropeanCommission_2020_Shaping_Europes_Digital_Future,0.809524,"TECHNOLOGY THAT WORKS FOR PEOPLE Europe has a long and successful history of technol- Europe needs to invest in connectivity, deep tech ogy and creativity. Europe is strongest when it acts and human capital, as well a..."
