sdg,rank_within_sdg,policy_item_id,policy_source_doc,research_item_id,research_publication_year,raw_cosine,adjusted_cosine,delta_cosine,policy_text_snippet,research_text_snippet
1,1,sdgi_03115_0,sdgi_MWI_VNR_2022,https://openalex.org/W2801534662,2018,0.881162,0.880821,-0.00034,Malawi 2022 Voluntary National Review (VNR) Report 47 REDUCE INEQUALITY WITHIN AND AMONG COUNTRIES Overview Malawi is particularly focusing on reducing inequality among different groups. MW2063 embodies the aspiration of inclusive wealth creation and self-reliance that seeks to e,"Closing the Divide in Malawi: How to reduce inequality and increase prosperity for all. Inequality between the richest and the rest in Malawi continues to rise, with poverty remaining extreme and endemic. Climate change is compounding the challenges, with recent droughts and floo"
1,2,UN_SDG_Progress_Report_2023_0035,UN_SDG_Progress_Report_2023,https://openalex.org/W3159277486,2020,0.867989,0.865663,-0.002326,"Amid overlapping crises, coverage and expenditures on social protection programmes remain low The COVID-19 pandemic has highlighted the importance of social protection population. To achieve the Goals, countries will need to implement nationally systems. However, in 2020, a mere ","Shelter from the Storm: The global need for universal social protection in times of COVID-19. As 2020 draws to a close, the economic devastation caused by the COVID-19 pandemic shows no sign of abating. Without urgent action, global poverty and inequality will deepen dramatically"
1,3,UN_SDG_Progress_Report_2021_0050,UN_SDG_Progress_Report_2021,https://openalex.org/W3159277486,2020,0.862601,0.86132,-0.001281,"least one social protection cash benefit, leaving as many as 4 billion people without a social safety net. The COVID-19 crisis has 80 85.4 demonstrated the importance of social protection systems to protect people's health, jobs and incomes, as well as the consequences of 60 62.8","Shelter from the Storm: The global need for universal social protection in times of COVID-19. As 2020 draws to a close, the economic devastation caused by the COVID-19 pandemic shows no sign of abating. Without urgent action, global poverty and inequality will deepen dramatically"
1,4,sdgi_00148_7,sdgi_EGY_VNR_2016,https://openalex.org/W4393150118,2024,0.862242,0.861696,-0.000545,"In addition enhance access to basic needs including health, education, jobs, and social protection (Social Justice Pillar) 26 Flagship Projects and Initiatives to Combat Poverty: In light of Egypt’s ambitious SDS: Egypt Vision 2030, and in the alignment with the transformative SD",THE EXTENT TO WHICH PUBLIC INVESTMENT SPENDING POLICIES AND SOCIAL PROTECTION PROGRAMS CONTRIBUTE TO TARGETING POVERTY AS ONE OF THE EGYPTIAN NATIONAL SECURITY ISSUES IN LIGHT OF EGYPT'S VISION 2030. Reducing poverty rates is one of the main goals of the United Nations Sustainabl
1,5,sdgi_00426_2,sdgi_CAN_VNR_2018,https://openalex.org/W4405023407,2024,0.862044,0.862124,7.9e-05,"Food-secure households are those that gave no indication of any income-related barrier to food access. During that period, however, 8.4% of Canadian households—representing more than 2 million people aged 12 and older—reported experiencing income-related food insecurity. These ho","An examination of food insecurity among Canadian Aboriginal people. Background Food insecurity is a significant problem affecting many Indigenous people in Canada. This paper examines the prevalence, causes, and effects of food insecurity among Aboriginal populations. Methods Usi"
2,1,India_National_AI_Strategy_NITI_2018_0044,India_National_AI_Strategy_NITI_2018,https://openalex.org/W3015883376,2020,0.895934,0.895357,-0.000578,"Discussion Paper National Strategy for Artificial Intelligence Agriculture While India has come a long way from being categorised as purely an agrarian economy, agriculture and allied sector still accounts for 49% of India's workforce, 16% of the country's gross domestic product ","Artificial Intelligence: A New Way to Improve Indian Agriculture. Agriculture, with its allied sectors, is unquestionably the largest livelihood provider in India; more so in the vast rural India. Agriculture plays a vital role in Indian economy. Government has set a target of do"
2,2,India_National_AI_Strategy_NITI_2018_0049,India_National_AI_Strategy_NITI_2018,https://openalex.org/W4390270820,2023,0.894504,0.894041,-0.000463,"Discussion Paper National Strategy for Artificial Intelligence with roots in India, uses ML techniques to assess images of farms and predict economic value of their future yield. Use of AI and related technologies have the potential to impact productivity and efficiency at all of","The Role of Machine Intelligence in Agriculture: A Case Study. India's GDP is heavily reliant on agricultural products and business management. Therefore, it is crucial for the agriculture industry to comprehend the most common uses of artificial intelligence (AI) through case st"
2,3,sdgi_00584_0,sdgi_ROU_VNR_2023,https://openalex.org/W4324139785,2023,0.88673,0.888988,0.002258,"42 43 Develop a sustainable and competitive agri-food sector to improve quality of life in the rural area and ensure living conditions like those in urban areas, promote local and ecological production, and traditional and mountain value-added products End hunger, achieve food se","AGRICULTURAL TRENDS IN ROMANIA IN THE CONTEXT OF THE CURRENT TRENDS OF THE WORLD ECONOMY. The role of agriculture is an extremely important one because it provides the necessary production of foods for the population and, at the same time, represents a source of raw materials for"
2,4,India_National_AI_Strategy_NITI_2018_0047,India_National_AI_Strategy_NITI_2018,https://openalex.org/W3015883376,2020,0.885247,0.884647,-0.000601,Discussion Paper National Strategy for Artificial Intelligence AI will have significant global impact on agricultural productivity at all levels of the value chain. An estimate by Markets and Markets Research valued AI in agriculture to be USD432 million in 2016 and expects it to,"Artificial Intelligence: A New Way to Improve Indian Agriculture. Agriculture, with its allied sectors, is unquestionably the largest livelihood provider in India; more so in the vast rural India. Agriculture plays a vital role in Indian economy. Government has set a target of do"
2,5,sdgi_00479_0,sdgi_EU_VNR_2023,https://openalex.org/W4412518421,2024,0.877541,0.874861,-0.00268,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture EU internal action Overview and challenges Various crises – the COVID-19 pandemic, the Russian war against Ukraine and the triple planetary crises of climate change, biodiversity loss and","Putting An End To World Hunger - The European Union's role in transforming the global food system. <html> <head> <title></title> </head> <body> Farmers around the world produce more than enough to feed everyone on the planet, yet since 2017 hunger has increased sharply. Promoting"
