sdg,rank_within_sdg,policy_item_id,policy_source_doc,research_item_id,research_publication_year,raw_cosine,adjusted_cosine,delta_cosine,policy_text_snippet,research_text_snippet
1,1,sdgi_00203_2,sdgi_KHM_VNR_2019,https://openalex.org/W2905167916,2018,0.844373,0.837664,-0.00671,"In this context, it is important to consider that increased consumption fnanced by borrowing may be masquerading as poverty reduction, and that poverty and vulnerability may be more signifcant than previously thought. CAMBODIA’S VOLUNTARY NATIONAL REVIEW 2019 47 OF THE IMPLEMENTA","Realizing the Promise of Social Assistance. Although Cambodia has become one of the world's leaders in poverty reduction, two-thirds of its population remains poor or economically vulnerable, with a large number of households moving in and out of poverty. Cambodian households are"
1,2,sdgi_00239_0,sdgi_MYS_VNR_2017,https://openalex.org/W4403578141,2024,0.82663,0.824415,-0.002215,"13 Goal 1: End poverty in all its forms everywhere Malaysia has successfully reduced absolute poverty, based on the national poverty line, from 49.3 per cent in 1970 to 0.6 per cent in 2014 – a remarkable achievement made in just four decades. The national poverty line is estimat","Unraveling the nexus: Exploring Malaysia's research trends in advancing UN SDG 1. This study examines Malaysia's poverty rate with respect to SDG poverty reduction targets, the specific policies and programmes implemented to address poverty within the SDGs' framework, and the cha"
1,3,sdgi_03115_0,sdgi_MWI_VNR_2022,https://openalex.org/W2801534662,2018,0.824148,0.819926,-0.004223,Malawi 2022 Voluntary National Review (VNR) Report 47 REDUCE INEQUALITY WITHIN AND AMONG COUNTRIES Overview Malawi is particularly focusing on reducing inequality among different groups. MW2063 embodies the aspiration of inclusive wealth creation and self-reliance that seeks to e,"Closing the Divide in Malawi: How to reduce inequality and increase prosperity for all. Inequality between the richest and the rest in Malawi continues to rise, with poverty remaining extreme and endemic. Climate change is compounding the challenges, with recent droughts and floo"
1,4,sdgi_00500_2,sdgi_IDN_VNR_2017,https://openalex.org/W4283650359,2022,0.815316,0.816438,0.001122,"The Prevalence of Stunting in Children under Five and Two Years of Age, 2007-2016 Note: * 2016: Results of Sirkesnas Interim Analysis Source: Basic Health Research Indonesia (Riset Kesehatan Dasar/Riskesdas) 2007, 2010, and 2013, National Health Indicator Survey (Survei Indikator","Analysis of Determinan of Stunting Prevalence among Stunted Toddlers in Indonesia. Stunting is regarded as one of the nutritional problems in Indonesia. The prevalence of stunted toddlers in Indonesia showed a decline from 37.2 percent in 2013 to 30.8 percent in 2018. However, th"
1,5,sdgi_00107_0,sdgi_BTN_VNR_2021,https://openalex.org/W4241190529,2019,0.810258,0.806919,-0.003339,"25 4.1 SDG 1: End poverty in all its forms everywhere Bhutan’s progress in alleviating poverty conditions over the decades of its planned development has been remarkable. Income poverty at the national level was reduced from 23.2 percent in 2007 to 8.2 percent in 2017, while rura","Poverty, Vulnerability, and Welfare in Bhutan. Agriculture-Agricultural Sector Economics Poverty Reduction-Employment and Shared Growth Poverty Reduction-Inequality Poverty Reduction-Poverty Assessment Poverty Reduction-Poverty Monitoring & Analysis"
2,1,sdgi_00487_28,sdgi_GBR_VNR_2019,https://openalex.org/W4381987939,2023,0.806597,0.801231,-0.005366,"Measuring and addressing household food insecurity The Food Standards Agency’s 2018 Food and You Survey of England, Wales and Northern Ireland found that: • 80% of respondents lived in households with high food security; • 10% in households classifed as marginally food secure; an","Food insecurity - what can local government do?. Key points• Good food is a fundamental building block of health.Everyone should be able to access and afford enough nutritious food to lead a healthy life.However, more than 1 in 6 households in the UK reported that they had experi"
2,2,India_National_AI_Strategy_NITI_2018_0047,India_National_AI_Strategy_NITI_2018,https://openalex.org/W3187013584,2019,0.798884,0.798184,-0.0007,Discussion Paper National Strategy for Artificial Intelligence AI will have significant global impact on agricultural productivity at all levels of the value chain. An estimate by Markets and Markets Research valued AI in agriculture to be USD432 million in 2016 and expects it to,Taking Stock of Artificial Intelligence in Indian Agriculture. The paper examines current initiatives in AI in Indian agriculture--both private and state-led-- and attempt to assess their potential for furthering development. We begin with a brief overview of the state of agricul
2,3,India_National_AI_Strategy_NITI_2018_0051,India_National_AI_Strategy_NITI_2018,https://openalex.org/W7118173493,2025,0.796953,0.797572,0.00062,"Discussion Paper National Strategy for Artificial Intelligence insights into soil health, recommended fertilizer, and seven-day weather forecasts. In 2017, the program was expanded to touch more than 3,000 farmers across the states of Andhra Pradesh and Karnataka during the Khari","A Study on Artificial Intelligence in Sustainable Development in Rural Agriculture. Abstract Artificial Intelligence plays a key role in this by optimizing resource utilization and improving crop management. Through advanced data analytics and machine learning, AI can analyze soi"
2,4,sdgi_00487_4,sdgi_GBR_VNR_2019,https://openalex.org/W4381987939,2023,0.784373,0.778261,-0.006112,The UK government is fully committed to supporting vulnerable people and the approach to tackling poverty in all its forms is set out in Goal 1. Challenges also remain in measuring and addressing every aspect of household food security (discussed further at the end of the chapter,"Food insecurity - what can local government do?. Key points• Good food is a fundamental building block of health.Everyone should be able to access and afford enough nutritious food to lead a healthy life.However, more than 1 in 6 households in the UK reported that they had experi"
2,5,India_National_AI_Strategy_NITI_2018_0049,India_National_AI_Strategy_NITI_2018,https://openalex.org/W4404030041,2024,0.77501,0.776838,0.001827,"Discussion Paper National Strategy for Artificial Intelligence with roots in India, uses ML techniques to assess images of farms and predict economic value of their future yield. Use of AI and related technologies have the potential to impact productivity and efficiency at all of","Deep Learning for Crop Disease Detection using YOLOv8. Agriculture, deeply rooted in India's history, remains as the root of the country's economy and a primary source of employment. Despite the ageold practice, smallholder farmers in India sometimes face problems, especially in "
3,1,sdgi_00847_13,sdgi_IND_VNR_2020,https://openalex.org/W4361866673,2022,0.750977,0.746678,-0.004299,"Engaging the private sector in a creative and positive manner as partners for health action coordinated by the government, can go a long way in addressing health chal￾lenges in the next decade and beyond. Challenges and Way Forward 49 INDIA’S MARCH FORWARD: PROGRESS ON THE SDGs T","COVID-19 Pandemic and the Opportunities for Respiratory Therapy in India: A Narrative Review. The COVID-19 pandemic has disrupted the world since December 2019, ever since the World Health Organization declared it a pandemic after the sudden rise in the COVID-19 cases and deaths "
3,2,EU_AI_Act_2024_0071,EU_AI_Act_2024,https://openalex.org/W3137650920,2021,0.750008,0.747924,-0.002084,"European common data spaces established by the Commission and the facilitation of data sharing between businesses and with government in the public interest will be instrumental to provide trustful, accountable and non-discriminatory access to high-quality data for the training, ","Problematic Interactions between AI and Health Privacy. The interaction of artificial intelligence (AI) and health privacy is a two-way street. Both directions are problematic. This Essay makes two main points. First, the advent of artificial intelligence weakens the legal protec"
