side,sdg,item_id,source,centroid_similarity,preview
research,17,https://openalex.org/W3021232966,,0.684148,"Big Data And Digital Transformationsummary⋯Three (3) Years Of Panel Discussions. Abstract Digital data collected by the oil and gas industry supports many, if not, most of its activities. Data integrity, security, min..."
research,17,https://openalex.org/W4376862917,,0.66851,A Digital Collaborative Platform for the Silver Economy: Functionalities Required by Stakeholders in a Multinational Baltic Sea Region Project. This article develops functionalities for a digital collaborative platfor...
research,17,https://openalex.org/W7155847409,,0.655674,AI and ESG Global 2025: International Cooperation for Sustainable Businesses. The convergence between artificial intelligence (AI) and ESG4 is reshaping international cooperation and marks 2025 as a turning point. Mil...
policy,17,pol_scrape_0000014_95,SDSN_Sustainable_Development_Report_2025,0.837402,"The Pact calls for 56 actions related to SDG implemen- level, outcome-based data can be missing or outdated, tation, peace, and collective security, including the and significant changes in many cases may take years t..."
policy,17,sdgi_0003686_3,sdgi_PLW_VNR_2019,0.82373,Partnership for the Goals Strengthen the means of implementation and revitalize the global partnership for sustainable development SDG17.1 Improve ca￾pacity for tax & other revenue collection SDG 17.2 Developed countr...
policy,17,pol_scrape_0000013_27,SDSN_Sustainable_Development_Report_2024,0.819336,"Technological advances Parliament, new forms of global financing, and new are bringing new solutions to the forefront, and low- strategies to ensure observance of international law cost digital platforms can empower e..."
research,13,https://openalex.org/W4367723937,,0.781799,"A climate index collection based on model data. Abstract Machine learning (ML) and in particular deep learning (DL) methods push state-of-the-art solutions for many hard problems, for example, image classification, sp..."
research,13,https://openalex.org/W4321494453,,0.768372,Data-driven Attributing of Climate Events with Climate Index Collection based on Model Data (CICMoD). Machine learning (ML) and in particular artificial neural networks (ANNs) push state-of-the-art solutions for many...
research,13,https://openalex.org/W4389470795,,0.764422,"Foundation Models for Weather and Climate Data Understanding: A Comprehensive Survey. As artificial intelligence (AI) continues to rapidly evolve, the realm of Earth and atmospheric sciences is increasingly adopting d..."
policy,13,sdgi_0002698_3,sdgi_MAR_VLR_agadir_2023,0.85791,"It cites that the level of CO2 emissions in the country in 2010 was 7,277.8 kiloton, an increase compared to 2016 (6,761.7 kiloton).322 To address climate change, the national government committed to: (i) the consolid..."
policy,13,sdgi_0002681_2,sdgi_ESP_VLR_barcelona_2020,0.847168,"Strengthen resilience and adaptive capacity to climate-related hazards and natural disas￾ters in all countries. 13.2. Integrate climate change measures into national policies, strategies and planning. 13.3. Improve ed..."
policy,13,ungdc_0000659_1,ungdc_LUX_73_2018,0.838379,"We have heard warnings from the Secretary- General and from the scientific community: if we continue along the current path, we will not achieve the objectives of the Paris Agreement. We do not know exactly how much h..."
research,9,https://openalex.org/W4224248873,,0.740456,Comparative Analysis of High-Performance Computing Systems and Machine Learning in Enhancing Cyber Infrastructure: A Multiple Regression Analysis Approach. The invention of advanced digital technologies like machine l...
research,9,https://openalex.org/W4408801086,,0.736961,"AI in business operations: driving urban growth and societal sustainability. Approximately 30% of smart city applications will use artificial intelligence (AI) by the end of 2025, thereby radically altering the urban..."
research,9,https://openalex.org/W4399593523,,0.73616,"THE ROLE OF ARTIFICIAL INTELLIGENCE AND VIRTUAL INTELLIGENCE IN OT. In key infrastructures including manufacturing, energy production, transportation, and utilities, physical processes are controlled and monitored by..."
policy,9,pol_manual_0000036_23,OECD_2021_State_of_Implementation_of_the_OECD_AI_Principles_Insights_from_National_AI_Policies,0.815918,A selection of AI policies that follow OECD AI Principle 2.3 on shaping an enabling policy environment for AI Note: This stylised figure identifies a selection of AI policy instruments used by countries to implement t...
policy,9,pol_manual_0000036_91,OECD_2021_State_of_Implementation_of_the_OECD_AI_Principles_Insights_from_National_AI_Policies,0.801758,"Other member organisations bring specific expertise to advance AI research in Japan. Figure 12. AI Japan R&D Network Source: Presentation by ONE AI member Yoichi Iida (Japan), 19 January 2021, (Expert group 7th Meetin..."
policy,9,pol_scrape_0000004_45,Germany_AI_Strategy_2020_Update,0.796875,"One key factor to bringing more AI into economic applications is joining forces with multipliers, so train-the-trainer programmes for multipliers at chambers and business associations are being supported and initiated..."
