rank,doc_id,corpus_type,assigned_sdg,projection_score,title,text_preview,source_doc_or_year
1,https://openalex.org/W3044765352,research,16,-0.252646,The Hollywood Indian Stereotype: The Cinematic Othering and Assimilation of Native Americans at the Turn of the 20th Century,"The Hollywood Indian Stereotype: The Cinematic Othering and Assimilation of Native Americans at the Turn of the 20th Century. This paper intends to demonstrate that the misrepresentation of Native Americans in cinema furthers the logic of differentiation at play in popular culture, focalizing on an irreconcilable enemy image upon which the American self is constructed. The Indian looking glass mag",2020
2,https://openalex.org/W4404845190,research,7,-0.247508,A fast Time-domain identification of bushing dynamics,"A fast Time-domain identification of bushing dynamics. The identification of bushings dynamics is crucial for the development of innovative model-based digital tools, such as for example predictive maintenance or virtual sensing. Quite a few nonlinear modelling techniques have been proposed over the years, which can be suitably used to develop advanced models that capture the linear and nonlinear",2024
3,https://openalex.org/W4389228499,research,14,-0.247489,Research on the applicability of regularization methods in ship magnetic field modeling based on magnetic dipole arrays,"Research on the applicability of regularization methods in ship magnetic field modeling based on magnetic dipole arrays. Abstract In order to solve the problem of ship magnetic field modeling, a magnetic dipole array model was established, a modeling inversion equation system was constructed, and the degree of sickness of the solved equation system under different numbers of magnetic dipoles was q",2023
4,https://openalex.org/W4413216101,research,7,-0.234273,Comparison of Real-Time Multivariate Dynamic Modeling Methods of Gas Turbine,"Comparison of Real-Time Multivariate Dynamic Modeling Methods of Gas Turbine. Abstract This paper presents methods for generating multivariate real-time models of jet engines in real-time by system identification method from experimental data. In this paper, multivariate real-time models of the engine have been built based on two main methods: transfer function and artificial neural network. The o",2025
5,https://openalex.org/W4412486946,research,13,-0.232565,Towards Data-Driven Aeroacoustic Modeling to Predict Propeller Installation Noise: A First-Principle Based Approach,"Towards Data-Driven Aeroacoustic Modeling to Predict Propeller Installation Noise: A First-Principle Based Approach. Prediction of propeller installation noise is a critical aspect of developing low-noise aircraft and advanced air mobility systems. A novel data-driven approach, grounded in first-principles aerodynamics and acoustic theory, has been developed to accurately predict tonal noise gener",2025
6,https://openalex.org/W2794955701,research,11,-0.23149,Time‐Varying Modal Parameters Identification by Subspace Tracking Algorithm and Its Validation Method,"Time‐Varying Modal Parameters Identification by Subspace Tracking Algorithm and Its Validation Method. This article presents a time‐varying modal parameter identification method based on the novel information criterion (NIC) algorithm and a post‐process method for time‐varying modal parameter estimation. In the practical application of the time‐varying modal parameter identification algorithm, the",2018
7,https://openalex.org/W4389448297,research,4,-0.230782,Longitudinal Parameter Estimation Using Wind Tunnel and Simulated Flight Data of Missile Configuration,Longitudinal Parameter Estimation Using Wind Tunnel and Simulated Flight Data of Missile Configuration. The present study makes an attempt to estimate aerodynamic parameters from a typical flight data of a short range missile. Exhaustive wind tunnel testing was conducted to generate longitudinal force and moment coefficients at low speed. Identification methods were applied on the selected wind tu,2023
8,https://openalex.org/W2980474709,research,12,-0.228853,Uncertainty Quantification of the Dimensional Variations of a Curved Composite Flange,"Uncertainty Quantification of the Dimensional Variations of a Curved Composite Flange. Composite manufacturing involves a large number of materials data and process parameters, inevitably resulting in performance variations of final parts. To maintain and improve product quality, characterizing the stochastic performance of composite manufacturing processes and thus identifying the key uncertainty",2019
9,https://openalex.org/W4405480255,research,16,-0.228354,'There is a Great Difference between Christianity and Religion at the South': References to Religion in Harriet Jacobs's Slave Narrative Incidents in the Life of a Slave Girl (1861),"'There is a Great Difference between Christianity and Religion at the South': References to Religion in Harriet Jacobs's Slave Narrative Incidents in the Life of a Slave Girl (1861). 'There is a Great Difference between Christianity and Religion at the South': References to Religion in Harriet Jacobs's Slave Narrative Incidents in the Life of a Slave Girl (1861) was published in Control, Coercion,",2024
10,https://openalex.org/W3134161550,research,16,-0.22826,Review on Aluminum and Steel Semi-rigid Connections Behavior Design Model,"Review on Aluminum and Steel Semi-rigid Connections Behavior Design Model. Several research reports agree on the influence of joint rotational behavior on the stability of space frames. One must therefore consider it in space structures study. Joint rotational behavior is generally considered in space structures study by means of its moment-rotation behavior curve. Models such as analytical, empir",2021
11,https://openalex.org/W3122026157,research,7,-0.227467,Recovery of Differential Equations from Impulse Response Time Series Data for Model Identification and Feature Extraction,Recovery of Differential Equations from Impulse Response Time Series Data for Model Identification and Feature Extraction. Time recordings of impulse-type oscillation responses are short and highly transient. These characteristics may complicate the usage of classical spectral signal processing techniques for a) describing the dynamics and b) deriving discriminative features from the data. However,2018
12,https://openalex.org/W4295214954,research,7,-0.226691,Loosening Identification of Multi-Bolt Connections Based on Wavelet Transform and ResNet-50 Convolutional Neural Network,"Loosening Identification of Multi-Bolt Connections Based on Wavelet Transform and ResNet-50 Convolutional Neural Network. A high-strength bolt connection is the key component of large-scale steel structures. Bolt loosening and preload loss during operation can reduce the load-carrying capacity, safety, and durability of the structures. In order to detect loosening damage in multi-bolt connections",2022
13,https://openalex.org/W2905224782,research,7,-0.226489,Recovery of Differential Equations from Impulse Response Time Series Data for Model Identification and Feature Extraction,Recovery of Differential Equations from Impulse Response Time Series Data for Model Identification and Feature Extraction. Time recordings of impulse-type oscillation responses are short and highly transient. These characteristics may complicate the usage of classical spectral signal processing techniques for (a) describing the dynamics and (b) deriving discriminative features from the data. Howev,2019
14,https://openalex.org/W3015704439,research,14,-0.22594,Resonant Frequency Modeling of Coplanar Waveguide Dual-Frequency Antenna Based on Prior Knowledge Gaussian Process,"Resonant Frequency Modeling of Coplanar Waveguide Dual-Frequency Antenna Based on Prior Knowledge Gaussian Process. Aiming at the problem of Gaussian process machine learning to solve the problem of low efficiency caused by too many samples in the process of antenna modeling, a Gaussian process modeling method based on prior knowledge is proposed. The input sample of the model is the size paramete",2019
15,https://openalex.org/W4400147452,research,4,-0.225925,Static eddy current imaging for nondestructive testing of aeronautical structures,"Static eddy current imaging for nondestructive testing of aeronautical structures. Non-destructive testing (NDT) plays a crucial role in ensuring the safety and reliability of the structures used in aeronautics as it enables the detection of defects without damaging the parts examined. In the field of aeronautics, it is necessary to ensure the structural integrity of aircraft components. Vaulted h",2024
16,https://openalex.org/W4391971596,research,2,-0.22534,Thermal Characteristics of Spindle System Based on the Comprehensive Effect of Multiple Nonlinear Time-Varying Factors,"Thermal Characteristics of Spindle System Based on the Comprehensive Effect of Multiple Nonlinear Time-Varying Factors. The thermal characteristics of the spindle system for CNC machine tools are influenced by multiple factors which are nonlinear and time-varying. In this paper, a nonlinear time-varying thermal characteristics solving model for the spindle system was established based on the numer",2024
17,https://openalex.org/W4400996301,research,2,-0.224465,Research on Stock Price Prediction Model based on Clustering-Sliced LDA and Gaussian Process Regression,"Research on Stock Price Prediction Model based on Clustering-Sliced LDA and Gaussian Process Regression. Multi-factor prediction techniques based on machine learning models are crucial methods in the field of financial quantification. However, these methods often encounter challenges such as curse of dimensionality and unknown structural connections. To address these issues, this paper proposes an",2024
18,https://openalex.org/W4387449610,research,12,-0.224085,A Theory-Guided Machine Learning and Reduced-Order Finite Element Modeling Framework to Accelerate Process Simulation of Aerospace Composite Parts,"A Theory-Guided Machine Learning and Reduced-Order Finite Element Modeling Framework to Accelerate Process Simulation of Aerospace Composite Parts. Abstract Finite Element (FE) analysis is widely used for process simulation of advanced composites in aerospace applications. However, as the fidelity of FE models improves, the cost and time to calibrate, setup and perform simulations also increases s",2023
19,https://openalex.org/W4327506202,research,7,-0.223991,A method for reconstructing models of heat and mass transfer from the spatio-temporal distribution of parameters,"A method for reconstructing models of heat and mass transfer from the spatio-temporal distribution of parameters. An algorithm of the generative design method for reconstruction of heat transfer models from the available data is proposed. The method is applied to generate a partial differential equation describing the process of heating and evaporation of a metal, the surface of which is heated by",2022
20,https://openalex.org/W2906270673,research,14,-0.221443,Intelligent Diagnosis method for Multi-flaws of Roller Bearing by Time-Frequency Waveform Distribution and Extreme Learning Machine,Intelligent Diagnosis method for Multi-flaws of Roller Bearing by Time-Frequency Waveform Distribution and Extreme Learning Machine. This paper proposed a method for intelligent condition diagnosis of rotating machinery using the time-frequency waveform distribution (TFWD) and extreme learning machine (ELM). The precisely diagnosing method of single flaw and multi-flaws in a roller bearing are pro,2018
21,https://openalex.org/W2945427322,research,16,-0.221396,Flight Test System Identification,"Flight Test System Identification. With the demand for more advanced fighter aircraft, relying on unstable flight mechanical characteristics to gain flight performance, more focus has been put on model-based system engineering to help with the design work. The flight control system design is one important part that relies on this modeling. Therefore, it has become more important to develop flight",2019
