rank,doc_id,corpus_type,assigned_sdg,projection_score,title,text_preview,source_doc_or_year
1,https://openalex.org/W3203842224,research,7,-0.207817,The intelligent networks for double-diffusion and MHD analysis of thin film flow over a stretched surface,"The intelligent networks for double-diffusion and MHD analysis of thin film flow over a stretched surface. This study presents a novel application of soft-computing through intelligent, neural networks backpropagated by Levenberg-Marquardt scheme (NNs-BLMS) to solve the mathematical model of unsteady thin film flow of magnetized Maxwell fluid with thermo-diffusion effects and chemical reaction (TF",2021
2,https://openalex.org/W4309556066,research,7,-0.200595,Thermal performance of chemically reactive transient thin film flow of Maxwell nanofluid with activation energy: novel computational intelligent networks,Thermal performance of chemically reactive transient thin film flow of Maxwell nanofluid with activation energy: novel computational intelligent networks. The present study is based on a novel application of computational intelligent heuristics based on backpropagated Levenberg-Marquardt neural networks (BLM-NNs) to numerically investigate the transient-thin-film flow of chemically reactive Maxwel,2022
3,https://openalex.org/W4386686391,research,12,-0.193945,Scattering transform in microstructure reconstruction,"Scattering transform in microstructure reconstruction. Abstract Descriptor‐based microstructure characterization plays a crucial role in the field of reversed material engineering for random heterogeneous media. With the advent of differentiable microstructure characterization and reconstruction, there has been a growing interest in the development of differentiable formulations of descriptors. Th",2023
4,https://openalex.org/W3184118237,research,12,-0.188595,Statistical Learning for Solid Propellant Performance,Statistical Learning for Solid Propellant Performance. View Video Presentation: This paper describes a methodology to rapidly model the performance of solid rocket motors and classify motors according to their geometries using statistical learning approaches. Star grain configurations are considered in this analysis. A variety of statistical learning approaches including neural networks have been,2021
5,https://openalex.org/W4205425802,research,9,-0.18739,Bayesian Regularization Algorithm Based Recurrent Neural Network Method and NSGA-II for the Optimal Design of the Reflector,"Bayesian Regularization Algorithm Based Recurrent Neural Network Method and NSGA-II for the Optimal Design of the Reflector. The optical-mechanical system of a space camera is composed of several complex components, and the effects of several factors (weight, gravity, modal frequency, temperature, etc.) on its system performance need to be considered during ground tests, launch, and in-orbit opera",2022
6,https://openalex.org/W4304166036,research,16,-0.185332,"""Were Buddhist Scriptures in China Translated for Chinese?"": A New Investigation into the Development of Early Buddhist Chinese from the Perspective of the Buddhist Speech Community","""Were Buddhist Scriptures in China Translated for Chinese?"": A New Investigation into the Development of Early Buddhist Chinese from the Perspective of the Buddhist Speech Community. Modern scholarship focuses on the lexical or syntactical features of Buddhist Chinese used in Chinese translations of Buddhist scriptures; however, the origins of the language have attracted relatively little attentio",2022
7,https://openalex.org/W4376107063,research,7,-0.184074,A thermal load identification method based on physics-guided neural network for honeycomb sandwich structures,"A thermal load identification method based on physics-guided neural network for honeycomb sandwich structures. Abstract The identification of thermal load/thermal shock of aircraft during service is beneficial for collecting information of the service environment and avoiding risks. In the paper, a method based on multivariate information fusion and physics-guided neural network is developed for t",2023
8,https://openalex.org/W7116708413,research,7,-0.1836,Modeling the Effectiveness of Chemical Reactions in Magnetized Nanofluids: The Influence of Activation Energy and CattaneoChristov Transport Phenomena,"Modeling the Effectiveness of Chemical Reactions in Magnetized Nanofluids: The Influence of Activation Energy and CattaneoChristov Transport Phenomena. The remarkable capacity of artificial neural networks to simulate complex and nonlinear mathematical phenomena, particularly in domains such as thermal engineering and nanotechnology, is a primary reason for their widespread application. Thus, ANNs",2025
9,https://openalex.org/W4405316748,research,7,-0.181154,Integrating artificial Intelligence-Based metaheuristic optimization with Machine learning to enhance Nanomaterial-Containing latent heat thermal energy storage systems,Integrating artificial Intelligence-Based metaheuristic optimization with Machine learning to enhance Nanomaterial-Containing latent heat thermal energy storage systems. • A database of 22 laboratory studies is compiled to predict the latent heat of NePCMs. • Machine learning techniques are compared in terms of accuracy and calculation costs. • Hyper-parameters of all techniques are optimized to a,2024
10,https://openalex.org/W4317940274,research,12,-0.179896,A Data-Driven Framework for Designing Microstructure of Multifunctional Composites with Deep-Learned Diffusion-Based Generative Models,"A Data-Driven Framework for Designing Microstructure of Multifunctional Composites with Deep-Learned Diffusion-Based Generative Models. This paper puts forward an integrated microstructure design methodology that replaces the common existing design approaches: 1) reconstruction of microstructures, 2) analyzing and quantifying material properties, and 3) inverse design of materials using deep-learn",2023
