side,sdg,item_id,source,centroid_similarity,preview
research,17,https://openalex.org/W4226024268,2022,0.600833,Session introduction: AI-driven Advances in Modeling of Protein Structure.. The last few years mark dramatic improvements in modeling of protein structure. Progress was initially due to breakthroughs in residue-residu...
research,17,https://openalex.org/W7114996814,2025,0.59378,"Advancing Machine Learning in Chemistry Through Open and Large-Scale Data Initiatives. Research in Chemical Informatics, in particular in Deep Learning, has long been hampered by a lack of free and open datasets, let..."
research,17,https://openalex.org/W7115002943,2025,0.59378,"Advancing Machine Learning in Chemistry Through Open and Large-Scale Data Initiatives. Research in Chemical Informatics, in particular in Deep Learning, has long been hampered by a lack of free and open datasets, let..."
policy,17,ungdc_005819,ungdc_ZWE_78_2023,0.900499,"It is imperative that we recommit to the Charter of the United Nations, multilateralism, solidarity, justice and the peaceful settlement of disputes for sustainable development and a shared future. That calls on us al..."
policy,17,UN_SDG_Progress_Report_2019_0005,UN_SDG_Progress_Report_2019,0.897442,Countries are taking concrete actions to progress across all 17 SDGs: financing; resilience; sustainable and protect our planet: marine protected areas have doubled since 2010; inclusive economies; more effective inst...
policy,17,ungdc_000961,ungdc_NPL_71_2016,0.890215,"It has been a year since we adopted the universal and transformative 2030 Agenda for Sustainable Development, with the objective of leaving no one behind. After one year, it is clear now that much more needs to be don..."
research,13,https://openalex.org/W2990621239,2019,0.847305,"Machine learning and artificial intelligence to aid climate change research and preparedness. Abstract Climate change challenges societal functioning, likely requiring considerable adaptation to cope with future alter..."
research,13,https://openalex.org/W4413559371,2024,0.847283,Enhanced Climate Modeling for Accurate Long-Term Climate Predictions Using Deep Learning. Climate induced models estimate changes in the of the complex climatic system of the Earth. While climate models' effectiveness...
research,13,https://openalex.org/W4367723937,2023,0.845628,"A climate index collection based on model data. Abstract Machine learning (ML) and in particular deep learning (DL) methods push state-of-the-art solutions for many hard problems, for example, image classification, sp..."
policy,13,UN_SDG_Progress_Report_2019_0128,UN_SDG_Progress_Report_2019,0.910003,"Take urgent action to combat climate change and its impacts As greenhouse gas levels continue to climb, climate change is occurring much faster than anticipated, and its effects are evident worldwide. The global mean..."
policy,13,ungdc_003117,ungdc_SMR_74_2019,0.905342,"The effects of climate change represent the greatest challenge of our time, owing to their unprecedented impact on our lives. Cyclone Idai this year caused devastation in Mozambique, Malawi and Zimbabwe. No country or..."
policy,13,ungdc_000240,ungdc_KIR_70_2015,0.897394,"We must all step up our national and collective efforts to mitigate global greenhouse-gas emissions. We must urge major greenhouse-gas emitters to do their part. Last week, my country, one of the countries with the lo..."
research,9,https://openalex.org/W4230589505,2019,0.821789,The Revolution of Artificial Intelligence and the Significance of Adopting AI in different Industries. Artificial Intelligence (AI) is one of the most widely inflated technologies in several industries today. With the...
research,9,https://openalex.org/W4212945360,2022,0.812328,Artificial Intelligence Emergence in Disruptive Technology. Artificial intelligence (AI) is the most prominent technology driving digital transformation across the world. The digital transformation has made nimiety of...
research,9,https://openalex.org/W3039548339,2020,0.811598,Guest Editorial: AI and Machine Learning Solution Cyber Intelligence Technologies: New Methodologies and Applications. The papers in this special section focus on new methodologies and applications in artificial intel...
policy,9,African_Union_Continental_AI_Strategy_2024_0007,African_Union_Continental_AI_Strategy_2024,0.872274,"healthcare, public service delivery, climate change, and peace and security) and promoting the competitiveness of the African private sector. • Addressing the risks associated with the increasing use of AI, with atten..."
policy,9,UnitedNationsSystem_2024_White_Paper_on_AI_Governance_0104,UnitedNationsSystem_2024_White_Paper_on_AI_Governance,0.867648,"Page 45 UNIDO Global Alliance on AI for Industry and Manufacturing UNIDO GENDER, DIGITAL TRANSFORMATION AND ARTIFICIAL INTELLIGENCE (2023) UNIDO Empowering SMEs through 4IR Technologies: Artificial Intelligence (2024)..."
policy,9,WorldBank_2021_Harnessing_Artificial_Intelligence_for_Development_in_the_Post_COVID_19_Era_A_Review_of_National_AI_Strategies_and_Policies_0046,WorldBank_2021_Harnessing_Artificial_Intelligence_for_Development_in_the_Post_COVID_19_Era_A_Review_of_National_AI_Strategies_and_Policies,0.867519,"ANALYTICAL INSIGHTS - NOTE 4 Overview of AI Flagship Initiatives Observed As observed across the eleven countries reviewed, as in the case of Finland. Other countries opt for the AI policymaking landscape has a wide r..."
